date,y
2012-06-25,2.109778824
2012-07-02,1.79018976
2012-07-09,1.510847887
2012-07-16,0.969943864
2012-07-23,2.23746035
2012-07-30,1.467243782
2012-08-06,1.334311828
2012-08-13,1.646593902
2012-08-20,0.656677866
2012-08-27,0.618754447
2012-09-03,1.837578479
2012-09-10,1.327018088
2012-09-17,1.726379072
2012-09-24,3.135338508
2012-10-01,3.018003954
2012-10-08,3.354860353
2012-10-15,3.444870587
2012-10-22,3.169710681
2012-10-29,4.467642283
2012-11-05,2.869562444
2012-11-12,3.772947963
2012-11-19,2.910360884
2012-11-26,3.242474321
2012-12-03,3.261997726
2012-12-10,4.123185062
2012-12-17,5.148350848
2012-12-24,6.142067448
2013-01-07,8.213683783
2013-01-14,10.841012383
2013-01-21,8.238571691
2013-01-28,11.394627713
2013-02-04,15.349194167
2013-02-11,12.935267014
2013-02-18,12.371438595
2013-02-25,13.236396196
2013-03-04,11.654910283
2013-03-11,10.917831847
2013-03-18,6.712931464
2013-03-25,6.67325094
2013-04-01,7.666705751
2013-04-08,5.616196385
2013-04-15,6.706470812
2013-04-22,5.382530903
2013-04-29,2.449687193
2013-05-06,2.127777674
2013-05-13,2.337973561
2013-05-20,1.651800462
2013-05-27,1.533095703
2013-06-03,2.286035838
2013-06-10,2.057686802
2013-06-17,1.843402921
2013-06-24,1.009906262
2013-07-01,1.704693289
2013-07-08,1.373236535
2013-07-15,1.167972399
2013-07-22,0.802954873
2013-07-29,0.477472831
2013-08-05,0.618556701
2013-08-12,0.908870576
2013-08-19,0.456687735
2013-08-26,1.462335715
2013-09-02,0.945635419
2013-09-09,1.977933145
2013-09-16,2.989615482
2013-09-23,2.900364835
2013-09-30,2.648198823
2013-10-07,1.911284542
2013-10-14,2.205034262
2013-10-21,2.02280715
2013-10-28,1.854289899
2013-11-04,2.503993437
2013-11-11,2.439751687
2013-11-18,2.064344014
2013-11-25,3.328920578
2013-12-02,3.163323107
2013-12-09,1.765575688
2013-12-16,3.42985053
2013-12-23,3.971405877
2013-12-30,2.256480612
2014-01-06,3.012104896
2014-01-13,5.841673467
2014-01-20,4.989972075
2014-01-27,5.269814502
2014-02-03,5.982503628
2014-02-10,7.157107455
2014-02-17,8.546849742
2014-02-24,6.267015975
2014-03-03,2.868163386
2014-03-10,5.132858543
2014-03-17,6.353902908
2014-03-24,4.082558403
2014-03-31,3.889638004
2014-04-07,4.959893276
2014-04-14,5.345364934
2014-04-21,5.229734777
2014-04-28,2.401392807
2014-05-05,3.122261726
2014-05-12,2.690995581
2014-05-19,1.608574548
2014-05-26,2.53985455
2014-06-02,1.847326834
2014-06-09,2.732059476
2014-06-16,1.670491212
2014-06-23,2.197022189
2014-06-30,2.299242101
2014-07-07,2.668278097
2014-07-14,3.074757053
2014-07-21,1.967036607
2014-07-28,2.267283104
2014-08-04,1.344150544
2014-08-11,0.813375508
2014-08-18,1.636066169
2014-08-25,1.812544717
2014-09-01,2.027831994
2014-09-08,2.567457885
2014-09-15,3.127747345
2014-09-22,3.892235835
2014-09-29,4.146077303
2014-10-06,3.469166723
2014-10-13,3.809776217
2014-10-20,4.903310164
2014-10-27,2.733100329
2014-11-03,3.872233504
2014-11-10,4.306703549
2014-11-17,4.637988438
2014-11-24,3.794682385
2014-12-01,4.803630882
2014-12-08,5.217736992
2014-12-15,7.288267545
2014-12-22,12.17471965
2014-12-29,7.900657815
2015-01-05,9.136828313
2015-01-12,13.792053069
2015-01-19,11.845935151
2015-01-26,14.533041545
2015-02-02,13.972322342
2015-02-09,15.273304881
2015-02-16,16.058789132
2015-02-23,16.14606516
2015-03-02,13.423671011
2015-03-09,13.173577567
2015-03-16,8.893280632
2015-03-23,8.491339798
2015-03-30,7.641869899
2015-04-06,5.487681598
2015-04-13,5.566300297
2015-04-20,5.504875747
2015-04-27,5.943676588
2015-05-04,4.851278008
2015-05-11,2.42197043
2015-05-18,2.495153643
2015-05-25,2.029946544
2015-06-01,1.210126337
2015-06-08,1.325100045
2015-06-15,3.343005763
2015-06-22,2.781992918
2015-06-29,1.307668166
2015-07-06,1.865522479
2015-07-13,2.18438805
2015-07-20,1.632436513
2015-07-27,1.981664389
2015-08-03,1.734605377
2015-08-10,1.216360042
2015-08-17,2.311978359
2015-08-24,1.793185893
2015-08-31,1.633141892
2015-09-07,2.184588205
2015-09-14,2.422300067
2015-09-21,3.803801851
2015-09-28,2.283394646
2015-10-05,2.749022808
2015-10-12,4.638975989
2015-10-19,4.550147879
2015-10-26,3.997841165
2015-11-02,3.247724456
2015-11-09,4.293001565
2015-11-16,2.811753128
2015-11-23,3.355531464
2015-11-30,3.179240419
2015-12-07,3.619589555
2015-12-14,5.210013149
2015-12-21,4.897748754
2015-12-28,4.086103769
NA,4.677749815
2016-01-04,8.223826589
2016-01-11,7.853814335
2016-01-18,10.459303426
2016-01-25,12.063448606
2016-02-01,12.015001587
2016-02-08,11.84188917
2016-02-15,14.734687395
2016-02-22,11.84188917
2016-02-29,13.011018987
2016-03-07,10.758092819
2016-03-14,6.93006622
2016-03-21,4.572601717
2016-03-28,4.945515507
2016-04-04,4.596757644
2016-04-11,3.926417269
2016-04-18,2.544633695
2016-04-25,1.733432716
2016-05-02,1.182355616
2016-05-09,1.550210502
2016-05-16,1.221558056
2016-05-23,1.221558056
2016-05-30,1.657728745
2016-06-06,1.715896555
2016-06-13,1.322445201
2016-06-20,2.122421258
2016-06-27,1.621700053
2016-07-04,1.873421845
2016-07-11,1.28395458
2016-07-18,1.518154598
2016-07-25,1.143973459
2016-08-01,1.064186838
2016-08-08,0.831607747
2016-08-15,0.597994156
2016-08-22,0.822375184
2016-08-29,1.338508901
2016-09-05,1.931366944
2016-09-12,2.086263116
2016-09-19,2.060630077
2016-09-26,2.600294158
2016-10-03,3.343017471
2016-10-10,4.065196548
2016-10-17,2.524126441
2016-10-24,2.822232551
2016-10-31,3.177099467
2016-11-07,3.603548345
2016-11-14,5.443658138
2016-11-21,4.353308514
2016-11-28,5.763598978
2016-12-05,6.11401102
2016-12-12,6.454905728
2016-12-19,11.7634389
2016-12-26,8.105584042
2017-01-02,9.678522857
2017-01-09,12.129313332
2017-01-16,10.325377388
2017-01-23,9.238877195
2017-01-30,12.35129131
2017-02-06,10.149017278
2017-02-13,8.333745895
2017-02-20,6.228484374
2017-02-27,5.280789478
2017-03-06,6.012061119
2017-03-13,3.889713065
2017-03-20,4.118446521
2017-03-27,3.496077076
2017-04-03,2.954209748
2017-04-10,3.04674698
2017-04-17,3.143821563
2017-04-24,2.07441981
2017-05-01,2.251430434
2017-05-08,1.383040845
2017-05-15,2.27408828
2017-05-22,1.098220098
2017-05-29,1.667664738
2017-06-05,0.706913615
2017-06-12,0.896064646
2017-06-19,2.281658004
2017-06-26,1.895073566
2017-07-03,0.985438254
